Symbol_TF,Entry,Entry_Param,Exit,Exit_Param,PnL%,Win_Rate%,Trades
BTCUSDT_1h,RSI,40.0,BB_Exit_B,0.65,95.33,99.04,104
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.65,95.18,97.3,37
BTCUSDT_4h,BB_Reversal,,SuperTrend,,95.0,97.96,49
BTCUSDT_1d,RSI,30.0,RSI,60.0,94.64,87.5,8
BTCUSDT_4h,RSI,25.0,BB_Exit_B,0.8,94.24,100.0,22
BTCUSDT_1h,RSI,40.0,BB_Exit_B,0.7,93.99,99.01,101
BTCUSDT_4h,RSI,30.0,SuperTrend,,93.91,96.67,30
BTCUSDT_1h,BB_Reversal,,RSI,40.0,93.83,99.6,249
ETHUSDT_1d,RSI,25.0,BB_Exit_B,0.85,93.42,100.0,3
BTCUSDT_1d,RSI,40.0,RSI,45.0,92.69,96.15,26
ETHUSDT_4h,RSI,30.0,RSI,45.0,92.21,96.67,30
BTCUSDT_1h,RSI,40.0,BB_Exit_B,0.8,91.56,98.9,91
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.65,91.54,96.55,29
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.6,91.54,96.55,29
ETHUSDT_1h,RSI,20.0,BB_Exit_B,0.75,90.47,97.22,36
BTCUSDT_4h,BB_Reversal,,BB_Exit_B,0.7,90.3,96.67,30
BTCUSDT_4h,BB_Reversal,,BB_Exit_B,0.8,89.97,95.65,23
BTCUSDT_4h,BB_Reversal,,RSI,40.0,89.95,98.78,82
BTCUSDT_4h,BB_Reversal,,BB_Exit_B,0.65,89.94,96.67,30
BTCUSDT_1h,RSI,40.0,BB_Exit_B,0.75,89.79,98.95,95
ETHUSDT_1d,KAMA_SuperTrend,,RSI,60.0,89.71,92.86,14
ETHUSDT_4h,RSI,25.0,RSI,40.0,89.52,100.0,24
BTCUSDT_4h,KAMA_SuperTrend,,BB_Exit_B,0.65,88.32,97.78,45
BTCUSDT_4h,RSI,25.0,RSI,45.0,88.21,100.0,25
ETHUSDT_1d,KAMA_SuperTrend,,SuperTrend,,88.19,92.31,13
BTCUSDT_4h,RSI,25.0,BB_Exit_B,0.75,88.19,100.0,22
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.85,87.96,96.15,26
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.75,87.52,93.33,15
BTCUSDT_4h,RSI,25.0,BB_Exit_A,,87.19,100.0,25
ETHUSDT_4h,RSI,30.0,BB_Exit_A,,86.96,96.55,29
ETHUSDT_4h,RSI,20.0,RSI,45.0,86.68,100.0,17
BTCUSDT_4h,KAMA_SuperTrend,,BB_Exit_B,0.8,86.37,96.15,26
ETHUSDT_1d,RSI,40.0,RSI,45.0,86.22,95.45,22
ETHUSDT_4h,RSI,20.0,BB_Exit_A,,86.07,100.0,17
ETHUSDT_4h,RSI,20.0,RSI,40.0,85.97,100.0,17
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.9,85.57,97.87,47
ETHUSDT_1d,RSI,40.0,RSI,40.0,85.57,96.88,32
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.9,85.51,95.45,22
BTCUSDT_4h,BB_Reversal,,RSI,45.0,85.32,98.51,67
ETHUSDT_1d,BB_Reversal,,BB_Exit_B,0.7,84.96,92.86,14
BTCUSDT_1d,RSI,25.0,BB_Exit_B,0.9,84.72,100.0,4
ETHUSDT_1d,BB_Reversal,,RSI,50.0,82.87,94.74,19
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.8,82.73,92.31,13
ETHUSDT_4h,RSI,30.0,BB_Exit_B,0.8,82.07,94.74,19
ETHUSDT_1h,RSI,20.0,RSI,40.0,81.43,97.92,48
ETHUSDT_1h,RSI,20.0,RSI,45.0,80.97,97.83,46
BTCUSDT_4h,KAMA_SuperTrend,,BB_Exit_B,0.7,80.96,97.14,35
BTCUSDT_4h,BB_Reversal,,RSI,50.0,80.73,98.25,57
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.85,80.64,98.08,52
ETHUSDT_4h,RSI,30.0,BB_Exit_B,0.6,80.49,95.0,20
ETHUSDT_4h,RSI,30.0,BB_Exit_B,0.75,79.04,94.74,19
BTCUSDT_4h,KAMA_SuperTrend,,BB_Exit_B,0.75,78.97,96.97,33
ETHUSDT_1d,RSI,25.0,BB_Exit_B,0.9,78.96,100.0,3
ETHUSDT_1h,RSI,20.0,BB_Exit_B,0.7,78.74,97.3,37
ETHUSDT_1d,RSI,40.0,RSI,60.0,78.49,92.31,13
ETHUSDT_1d,BB_Reversal,,BB_Exit_A,,78.26,93.75,16
BTCUSDT_1d,BB_Reversal,,RSI,45.0,78.12,95.45,22
BTCUSDT_4h,RSI,25.0,BB_Exit_B,0.7,77.87,100.0,24
BTCUSDT_1d,RSI,30.0,BB_Exit_B,0.75,77.67,88.89,9
BTCUSDT_1h,RSI,30.0,BB_Exit_A,,77.56,98.77,81
BTCUSDT_1d,RSI,40.0,RSI,40.0,77.41,96.67,30
ETHUSDT_1d,RSI,30.0,RSI,40.0,77.39,100.0,9
BTCUSDT_4h,BB_Reversal,,BB_Exit_B,0.85,75.84,95.24,21
BTCUSDT_4h,KAMA_SuperTrend,,BB_Exit_B,0.85,75.41,95.65,23
BTCUSDT_1h,RSI,40.0,BB_Exit_B,0.85,74.97,98.65,74
ETHUSDT_4h,RSI,20.0,SuperTrend,,74.61,100.0,12
BTCUSDT_4h,KAMA_SuperTrend,,BB_Exit_B,0.6,74.52,97.22,36
ETHUSDT_4h,BB_Reversal,,BB_Exit_A,,74.21,97.14,35
ETHUSDT_4h,RSI,30.0,BB_Exit_B,0.7,74.17,94.74,19
BTCUSDT_4h,KAMA_SuperTrend,,BB_Exit_B,0.9,74.13,94.44,18
BTCUSDT_1d,RSI,30.0,BB_Exit_B,0.8,72.92,87.5,8
BTCUSDT_1d,BB_Reversal,,RSI,40.0,72.77,95.65,23
BTCUSDT_4h,KAMA_SuperTrend,,RSI,40.0,72.68,99.21,126
